station_id,Long,lat
KBRO,-97.41860300043052,25.9155560000814
KHGX,-95.07888099987196,29.471943999874
KLCH,-93.21588100030195,30.12530599996184
TMSY,-90.40300000014093,30.02199999965524
KLIX,-89.82540900020183,30.33666700035197
KMOB,-88.23971399978358,30.679443999800544
KDGX,-89.98443599964142,32.28000000000299
KGWX,-88.32918599996093,33.89691699989622
KBMX,-86.76971299965425,33.17194399993019
KHTX,-86.08360299990733,34.93055600001506
TATL,-84.26199999979502,33.647000000017655
KMRX,-83.40193500023625,36.16833300015273
KJKL,-83.313047000215,37.59083300002964
KFCX,-80.27415799983123,37.02416699968872
KRLX,-81.72276900003304,38.31111099972604
TIAD,-77.52899999989484,39.084000000008345
KPBZ,-80.21793500010851,40.531667000330074
KCCX,-78.00388000000346,40.923055999811595
TBWI,-76.63000000010285,39.09000000004071
TPHL,-75.06900000035705,39.94899999976752
KBGM,-75.98471299970323,42.199693999875606
TEWR,-74.26999999985242,40.5929999999846
KENX,-74.06407400040126,42.58655600026174
KBOX,-71.1368510003865,41.95577799967618
TBOS,-70.9329999996472,42.157999999669485
KGYX,-70.25635099987876,43.89130600027405
KCXX,-73.16637900029046,44.51111099975794
KCBW,-67.80640700034621,46.03916699986488
KNKX,-117.04193600018942,32.91888900013359
KYUX,-114.65668600032107,32.495278000094345
KEMX,-110.63026999979905,31.893611000129585
KIWA,-111.66999199974008,33.289166999681164
TPHX,-112.16299999958729,33.420999999745774
KFSX,-111.19843499991978,34.57433300004909
KABX,-106.82388000034348,35.14972200006362
KPUX,-104.18137999963587,38.45944399990428
KGLD,-101.7002689998298,39.36694399977742
KLNX,-100.57621200039227,41.957943999825126
KUEX,-98.44193499995923,40.32083300008307
KOAX,-96.36679600000654,41.320277999754616
KFSD,-96.72887999996708,43.58777800014463
KMPX,-93.5655180002796,44.84888899994974
